stage,generation,sample_accuracy_percent,sample_loss,test_accuracy_percent,test_loss
generation,570,43.75000298023224,60.95762252807617,,
generation,571,44.200003147125244,55.527374267578125,,
generation,572,46.00000083446503,54.52656173706055,,
generation,573,42.900002002716064,59.6645622253418,,
generation,574,44.200003147125244,49.88861083984375,,
generation,575,44.35000121593475,58.25461959838867,,
generation,576,44.00000274181366,52.19424057006836,,
generation,577,44.15000081062317,53.49637985229492,,
generation,578,42.70000159740448,53.88310241699219,,
generation,579,43.150001764297485,54.03911590576172,,
generation,580,43.65000128746033,50.69961929321289,,
generation,581,43.75000298023224,60.06819152832031,,
generation,582,41.850000619888306,58.51300811767578,,
generation,583,43.90000104904175,50.8560676574707,,
generation,584,44.40000355243683,53.416473388671875,,
generation,585,45.05000114440918,53.09202194213867,,
generation,586,43.20000112056732,54.30635452270508,,
generation,587,44.450002908706665,53.899593353271484,,
generation,588,43.30000281333923,55.64082336425781,,
generation,589,44.90000307559967,51.219329833984375,,
generation,590,42.9500013589859,56.237396240234375,,
generation,591,45.100003480911255,55.00218963623047,,
generation,592,44.65000331401825,51.11746597290039,,
generation,593,44.050002098083496,59.055015563964844,,
generation,594,44.75000202655792,52.57868957519531,,
generation,595,43.2500034570694,57.15798568725586,,
generation,596,43.20000112056732,53.75398254394531,,
generation,597,44.10000145435333,54.617549896240234,,
generation,598,43.50000321865082,51.219852447509766,,
generation,599,42.80000329017639,59.041954040527344,,
generation,600,45.00000178813934,53.448726654052734,,
